,count,mean,std,min,25%,50%,75%,max
QMI_total,50.0,5.01,0.9,2.31,4.59,4.89,5.42,6.86
QMI_visual,50.0,5.35,0.99,2.6,5.0,5.4,5.95,7.0
QMI_audio,50.0,5.08,1.08,2.6,4.25,5.1,6.0,7.0
QMI_touch,50.0,5.0,1.15,1.8,4.4,5.2,5.8,7.0
QMI_motor,50.0,5.16,1.03,2.6,4.45,5.2,6.0,7.0
QMI_taste,50.0,4.66,1.35,1.0,3.85,4.7,5.55,7.0
QMI_smell,50.0,4.46,1.4,1.8,3.5,4.6,5.35,6.8
QMI_feeling,50.0,5.36,1.08,2.4,4.6,5.4,6.2,6.8
